 Board : D:\pro.166\hm2.prime_h610m2-tf.100.230613948\hm2.prime_h610m2-tf.100.230613948-tr.brd
 Unit  : mil & mm
 Date  : Tue Jun 20 13:41:56 2023

---------------------------------------------------------------------------------------------------
                     TOP  LAYER  COMPONENT  CENTER  REPORT
---------------------------------------------------------------------------------------------------
         |                        |                  |        MIL        |        MM         |   | 
         |                        |                  |-------------------|-------------------|   | 
 refdes  |      device type       |     package      |    x    |    y    |    x    |    y    |ang|m
---------------------------------------------------------------------------------------------------
AR3       R_MBS_R0402_200KOHM/200KOhm MBS_R0402             400.00   3420.00    10.160    86.868 0   N
AR4       R_MBS_R0402_200KOHM/200KOhm MBS_R0402             260.00   3420.00     6.604    86.868 180 N
AR8       R_MBS_R0402_200KOHM/200KOhm MBS_R0402             695.00    330.00    17.653     8.382 180 N
AR9       R_MBS_R0402_100KOHM/100KOhm MBS_R0402            1010.00    320.00    25.654     8.128 180 N
AR11      R_MBS_R0402_DISCRETE_22OHM/22Ohm MBS_R0402             610.00   1150.00    15.494    29.210 270 N
AR42      R_MBS_R0603_0OHM/0Ohm    MBS_R0603             740.00    945.00    18.796    24.003 90  N
AR43      R_MBS_R0402_100KOHM/100KOhm MBS_R0402             325.00   1005.00     8.255    25.527 180 N
AR44      R_MBS_R0402_100KOHM/100KOhm MBS_R0402             670.00    550.00    17.018    13.970 270 N
AR45      R_MBS_R0402_100KOHM/100KOhm MBS_R0402             670.00    440.00    17.018    11.176 90  N
AR46      R_MBS_R0402_100KOHM/100KOhm MBS_R0402             740.00    800.00    18.796    20.320 90  N
AR98      SL_0402_SHORTPIN_S_SHORT_R0402_/0402_SHORTPIN_NM S_SHORT_R0402_NOMASK    215.00    900.00     5.461    22.860 0   N
ARN201    4R8PS_MBS_4R8P0603_2.7KOHM/2.7KOHM MBS_4R8P0603          225.00    320.00     5.715     8.128 270 N
ARN203    4R8PS_MBS_4R8P0603_2.7KOHM/2.7KOHM MBS_4R8P0603          370.00    320.00     9.398     8.128 270 N
ATX_12V   PWR_2X4P_HOLD_MBS_PWR_2X4P_165_/POWER_CON_8P MBS_PWR_2X4P_165_HD_HT_LF3   2795.00   9131.00    70.993   231.927 180 N
ATX_PWR   POWER_CON_24P_HOLD_MBS_PWR_2X12/POWER_CON_24P MBS_PWR_2X12P_165_HOLD_LF3   9335.00   6700.00   237.109   170.180 270 N
