 Board : D:\pro.166\hm2.prime_h610m2-tf.100.230613948\hm2.prime_h610m2-tf.100.230613948-tr.brd
 Unit  : mil & mm
 Date  : Tue Jun 20 13:41:56 2023

---------------------------------------------------------------------------------------------------
                     TOP  LAYER  COMPONENT  CENTER  REPORT
---------------------------------------------------------------------------------------------------
         |                        |                  |        MIL        |        MM         |   | 
         |                        |                  |-------------------|-------------------|   | 
 refdes  |      device type       |     package      |    x    |    y    |    x    |    y    |ang|m
---------------------------------------------------------------------------------------------------
K1U1C3    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5070.00   1375.50   128.778    34.938 180 N
K1U1C8    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5070.00   1291.00   128.778    32.791 180 N
K1U1C14   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5065.00   1200.00   128.651    30.480 180 N
K1U1C23   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5070.00   1065.00   128.778    27.051 180 N
K1U1C32   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5070.00    920.00   128.778    23.368 180 N
K1U1C42   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5350.00    760.00   135.890    19.304 270 N
K1U1C47   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5436.50    760.00   138.087    19.304 270 N
K1U1C53   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5485.00    760.00   139.319    19.304 270 N
K1U1C64   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5745.00    757.00   145.923    19.228 270 N
K1U1C77   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5870.00   1035.00   149.098    26.289 0   N
K1U1C81   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5870.00   1160.00   149.098    29.464 0   N
K1U1C89   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5870.00   1335.00   149.098    33.909 0   N
K1U1C90   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5870.00   1383.00   149.098    35.128 0   N
K1U1C98   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5685.00   1565.00   144.399    39.751 90  N
K1U1C103  C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5605.00   1565.00   142.367    39.751 90  N
K1U1C111  C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5482.00   1565.00   139.243    39.751 90  N
K1U1C122  C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5312.00   1565.00   134.925    39.751 90  N
K1U1C131  C_MBS_C0603_1UF/16V/1UF/16V MBS_C0603            5392.00    753.00   136.957    19.126 270 N
KBMS_USB_56 USBX2_14P_4HOLD_MBS_MINIDIN2USB/USBX2_14P MBS_MINIDIN2USB_14P_4HD_LF3    354.22   9224.74     8.997   234.308 270 N
KC1       C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            2065.00   1390.00    52.451    35.306 270 N
KC2       C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            1970.00    540.00    50.038    13.716 270 N
KC3       C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            2145.00   1390.00    54.483    35.306 270 N
KC4       C_MBS_C0402_0.01UF/16V/0.01UF/16V MBS_C0402            2325.00   1040.00    59.055    26.416 90  N
KC5       C_MBS_C0402_10PF/50V/10PF/50V MBS_C0402            2370.00    595.00    60.198    15.113 180 N
KC21      C_MBS_C0402_10PF/50V/10PF/50V MBS_C0402            1965.00   1395.00    49.911    35.433 90  N
KC22      C_MBS_C0402_10PF/50V/10PF/50V MBS_C0402            2025.00   1395.00    51.435    35.433 90  N
KCE1      CAP_MBS_CPL_5606D3_6D3X9LFH_MS_/560UF/6.3V MBS_CPL_5606D3_6D3X9LFH_MS   2415.00   2791.00    61.341    70.891 270 N
KCE2      CAP_MBS_CPL_5606D3_6D3X9LFH_MS_/560UF/6.3V MBS_CPL_5606D3_6D3X9LFH_MS   6680.00    185.00   169.672     4.699 270 N
KR10      R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402            2670.00   1045.00    67.818    26.543 270 N
KRN102    4R8PS_MBS_4R8P0603_8.2KOHM/8.2KOHM MBS_4R8P0603         5580.00    732.00   141.732    18.593 180 N
KRP1      8R10PS_MBS_8R10P0603_8.2KOHM/8.2KOHM MBS_8R10P0603        3565.00   1090.00    90.551    27.686 180 N
KRP2      8R10PS_MBS_8R10P0603_8.2KOHM/8.2KOHM MBS_8R10P0603        2010.00   1135.00    51.054    28.829 90  N
L1C1      C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402       765.00   2920.00    19.431    74.168 270 N
L1C2      C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402       800.00   2920.00    20.320    74.168 270 N
L1C3      C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402       845.00   2920.00    21.463    74.168 270 N
L1C4      C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402       880.00   2920.00    22.352    74.168 270 N
L1C10     C_MBS_C0402__30PF/50V/30PF/50V MBS_C0402            1180.00   3210.00    29.972    81.534 90  N
L1C11     C_MBS_C0402__30PF/50V/30PF/50V MBS_C0402            1180.00   3140.00    29.972    79.756 270 N
L1C12     C_MBS_C0402__10PF/50V/10PF/50V MBS_C0402             810.00   3025.00    20.574    76.835 270 N
L1C13     C_MBS_C0402__10PF/50V/10PF/50V MBS_C0402             855.00   3025.00    21.717    76.835 270 N
L1C14     C_MBS_C0402__0.01UF/16V/0.01UF/16V MBS_C0402             905.00   3025.00    22.987    76.835 90  N
L1C90     C_MBS_C0402__1000PF/50V/1000PF/50V MBS_C0402            1095.00   4647.00    27.813   118.034 180 N
L1C91     C_MBS_C0402__1000PF/50V/1000PF/50V MBS_C0402            1095.00   4570.00    27.813   116.078 0   N
L1C92     C_MBS_C0402__1000PF/50V/1000PF/50V MBS_C0402             957.00   4080.00    24.308   103.632 180 N
L1C93     C_MBS_C0402__1000PF/50V/1000PF/50V MBS_C0402            1027.00   4080.00    26.086   103.632 180 N
L1C94     C_MBS_C0402__100PF/50V/100PF/50V MBS_C0402             590.00   4075.00    14.986   103.505 0   N
L1C95     C_MBS_C0402__120PF/50V/120PF/50V MBS_C0402             495.00   4075.00    12.573   103.505 0   N
L1C96     C_MBS_C0603_DISCRETE_1UF/16V/1UF/16V MBS_C0603             410.00   4075.00    10.414   103.505 180 N
L1D1      IP4220CZ6_MBS_SOT23_6P_IP4220CZ/IP4220CZ6 MBS_SOT23_6P         1035.00   3865.00    26.289    98.171 180 N
L1D2      IP4220CZ6_MBS_SOT23_6P_IP4220CZ/IP4220CZ6 MBS_SOT23_6P          900.00   3865.00    22.860    98.171 180 N
L1D3      IP4220CZ6_MBS_SOT23_6P_IP4220CZ/IP4220CZ6 MBS_SOT23_6P         1035.00   3695.00    26.289    93.853 0   N
L1D4      IP4220CZ6_MBS_SOT23_6P_IP4220CZ/IP4220CZ6 MBS_SOT23_6P          900.00   3695.00    22.860    93.853 0   N
L1L24     SHORTPIN_MBS_SHORTPIN0603_NOMAS/SHORTPIN_0603_NM MBS_SHORTPIN0603_NOMASK   1110.00   3022.00    28.194    76.759 0   N
L1R1      R_MBS_R0402__2.49KOHM/2.49KOhm MBS_R0402            1110.00   3260.00    28.194    82.804 180 N
L1R2      R_MBS_R0402__1KOHM/1KOhm MBS_R0402             950.00   3025.00    24.130    76.835 270 N
L1R3      R_MBS_R0603__15KOHM/15KOhm MBS_R0603             957.00   2920.00    24.308    74.168 90  N
L1R52     R_MBS_R0402_DISCRETE_1MOHM/1MOHM MBS_R0402            1107.00   3175.00    28.118    80.645 0   N
L1R81     R_MBS_R0402__0OHM/0Ohm   MBS_R0402            1035.00   2920.00    26.289    74.168 90  N
L1R82     R_MBS_R0402__8.2KOHM/8.2KOhm MBS_R0402            1037.00   3025.00    26.340    76.835 270 N
L1R84     R_MBS_R0402__0OHM/0Ohm   MBS_R0402            1000.00   2920.00    25.400    74.168 90  N
L1R88     R_MBS_R0603__0OHM/0Ohm   MBS_R0603             724.00   3040.00    18.390    77.216 90  N
L1R89     R_MBS_R0603__0OHM/0Ohm   MBS_R0603             655.00   3040.00    16.637    77.216 270 N
L1R811    R_MBS_R0402__0OHM/0Ohm   MBS_R0402             915.00   2920.00    23.241    74.168 90  N
L1R1011   R_MBS_R0402_300OHM/300OHM MBS_R0402            1110.00   3100.00    28.194    78.740 0   N
L1R1014   R_MBS_R0402_300OHM/300OHM MBS_R0402            1095.00   4610.00    27.813   117.094 180 N
L1U1      MBV_RTL8111G_CG_4VIA_MBS_QFN_32/RTL8111H-CG MBS_QFN_32P_S157_PAD_REA_4V    960.00   3185.00    24.384    80.899 180 N
L1U1C3    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             980.00   3340.00    24.892    84.836 90  N
L1U1C8    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             905.00   3340.00    22.987    84.836 90  N
L1U1C11   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             785.00   3160.00    19.939    80.264 180 N
L1U1C22   C_MBS_C0603_DISCRETE_1UF/16V/1UF/16V MBS_C0603            1102.00   2970.00    27.991    75.438 180 N
L1U1C24   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            1110.00   3065.00    28.194    77.851 0   N
L1U1C30   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            1110.00   3225.00    28.194    81.915 0   N
L1U1C32   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            1110.00   3295.00    28.194    83.693 0   N
L1U1C211  C_MBS_C0603__4.7UF/6.3V/4.7UF/6.3V MBS_C0603             755.00   3118.00    19.177    79.197 180 N
L1U1C222  C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             985.00   3025.00    25.019    76.835 270 N
L1U1C232  C_MBS_C0603__4.7UF/6.3V/4.7UF/6.3V MBS_C0603            1110.00   3345.00    28.194    84.963 0   N
L1X1      CRYSTAL_SMD_24GND_S_XTAL_4P_126/25MHZ S_XTAL_4P_126X98_HOSON_H31   1260.00   3175.00    32.004    80.645 270 N
LAN_U32G2_1 COMBO_LAN_USB_23P_4HOLD_FX_S_LA/LAN_USB_23P S_LAN_USB_23P_4HOLD_FOX_LF3    242.80   4487.78     6.167   113.990 270 N
LGA1700   SOCKET_1700P_8HOLD_S_SOCKET1700/SOCKET1700P S_SOCKET1700_8HOLD   4614.58   6289.49   117.210   159.753 90  N
LOGO11    SFIS_LABEL_S_SFIS_LABEL_25X4_SF/SFIS_LABEL S_SFIS_LABEL_25X4    6405.00   5470.00   162.687   138.938 90  N
LOGO455   ASUS_MBS_TEXT_ASUS_LOGO_5D5MM_A/ASUS MBS_TEXT_ASUS_LOGO_5D5MM   4155.00   3520.00   105.537    89.408 0   N
LPT       HEADER_2X13P_K26_MBS_HD_2X13P_1/HD_2X13P_K26 MBS_HD_2X13P_100_K26_LF3   2965.00    185.00    75.311     4.699 0   N
M.2(SOCKET3) MINI_PCI_75P_4HD_REMOVE8_LOTES_/MINI_PCI_75P MBS_MINI_PCI_75P_REMV8_4H   5070.00   3932.00   128.778    99.873 270 N
M.2_29    M2_29_MBS_TEXT_M229_LOGO__M.2_2/M.2_29 MBS_TEXT_M229_LOGO   5945.00   3680.00   151.003    93.472 0   N
M2_2_HOLD_42 SCREWHOLE_SMT_S_NUT_TC217B176D1/CT217CB176D146 S_NUT_TC217B176D146_H83_BSR   3510.94   3932.00    89.178    99.873 0   N
M2_2_HOLD_60 SCREWHOLE_SMT_S_NUT_TC217B176D1/CT217CB176D146 S_NUT_TC217B176D146_H83_BSR   2802.28   3932.00    71.178    99.873 0   N
M2_2_HOLD_80 SCREWHOLE_SMT_S_NUT_TC217B176D1/CT217CB176D146 S_NUT_TC217B176D146_H83_BSR   2014.88   3932.00    51.178    99.873 0   N
MN4       RX_XX_S_RX_XX_T4__RX_XX_T4/RX_XX_T4 S_RX_XX_T4           4865.00   2780.00   123.571    70.612 0   N
O1C1      C_MBS_C0402_10PF/50V/10PF/50V MBS_C0402            1505.00   1979.00    38.227    50.267 180 N
O1C12     C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             770.00   1580.00    19.558    40.132 180 N
O1C30     C_MBS_C0402_1000PF/50V/1000PF/50V MBS_C0402            1015.00   1550.00    25.781    39.370 90  N
O1C32     C_MBS_C0402_1000PF/50V/1000PF/50V MBS_C0402             770.00   1470.00    19.558    37.338 0   N
O1C34     C_MBS_C0402_1000PF/50V/1000PF/50V MBS_C0402             880.00   1550.00    22.352    39.370 90  N
O1C36     C_MBS_C0402_1000PF/50V/1000PF/50V MBS_C0402             890.00   1440.00    22.606    36.576 270 N
O1C38     C_MBS_C0402_1000PF/50V/1000PF/50V MBS_C0402            1365.00   1340.00    34.671    34.036 90  N
O1C188    C_MBS_C0402_1000PF/50V/1000PF/50V MBS_C0402             652.00   1752.00    16.561    44.501 180 N
O1C301    C_MBS_C0402_1000PF/50V/1000PF/50V MBS_C0402            1170.00   1340.00    29.718    34.036 270 N
O1C302    C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            1110.00   1340.00    28.194    34.036 270 N
O1C305    C_MBS_C0402_1000PF/50V/1000PF/50V MBS_C0402             975.00   1250.00    24.765    31.750 270 N
O1C306    C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            1018.00   1250.00    25.857    31.750 270 N
O1C760    C_MBS_C0402_1000PF/50V/1000PF/50V MBS_C0402            1190.00   1550.00    30.226    39.370 270 N
O1C761    C_MBS_C0402_1000PF/50V/1000PF/50V MBS_C0402            1250.00   1340.00    31.750    34.036 90  N
O1L11     SL_0402_SHORTPIN_S_SHORT_R0402_/0402_SHORTPIN_NM S_SHORT_R0402_NOMASK   1505.00   2130.00    38.227    54.102 0   N
O1Q751    N_MOS_SOT23_MBS_SOT23_H2N7002/H2N7002 MBS_SOT23             450.00   2110.00    11.430    53.594 270 N
O1Q753    N_MOS_SOT23_MBS_SOT23_H2N7002/H2N7002 MBS_SOT23             320.00   2110.00     8.128    53.594 270 N
O1Q751C1  C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402             320.00   2020.00     8.128    51.308 180 N
O1Q753C1  C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402             235.00   2110.00     5.969    53.594 90  N
O1R1      R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402             655.00   1571.00    16.637    39.903 180 N
O1R2      R_MBS_R0402_1KOHM/1KOhm  MBS_R0402             920.00   2525.00    23.368    64.135 90  N
O1R3      R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402            1215.00   2525.00    30.861    64.135 90  N
O1R4      R_MBS_R0402_1KOHM/1KOhm  MBS_R0402             655.00   2030.00    16.637    51.562 180 N
O1R5      R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402             655.00   2065.00    16.637    52.451 180 N
O1R6      R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402             765.00   2500.00    19.431    63.500 180 N
O1R7      R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402             566.00   1960.00    14.376    49.784 180 N
O1R10     R_MBS_R0402_300OHM/300OHM MBS_R0402             560.00   1875.00    14.224    47.625 0   N
O1R11     R_MBS_R0402_300OHM/300OHM MBS_R0402             765.00   2369.00    19.431    60.173 180 N
O1R12     R_MBS_R0402_33OHM/33Ohm  MBS_R0402             566.00   2030.00    14.376    51.562 0   N
O1R13     R_MBS_R0402_1KOHM/1KOhm  MBS_R0402             655.00   1995.00    16.637    50.673 180 N
O1R14     R_MBS_R0402_1KOHM/1KOhm  MBS_R0402             910.00   2435.00    23.114    61.849 90  N
O1R23     R_MBS_R0402_2MOHM/2MOHM  MBS_R0402            7785.00    535.00   197.739    13.589 270 N
O1R24     R_MBS_R0402_2MOHM/2MOHM  MBS_R0402             770.00   1545.00    19.558    39.243 0   N
O1R30     R_MBS_R0402_10KOHM/10KOhm MBS_R0402            1015.00   1440.00    25.781    36.576 90  N
O1R31     R_MBS_R0402_DISCRETE_90.9KOHM/90.9KOhm MBS_R0402            1025.00   1340.00    26.035    34.036 270 N
O1R32     R_MBS_R0603_5.49KOHM/5.49KOhm MBS_R0603             703.00   1500.00    17.856    38.100 270 N
O1R33     R_MBS_R0402_1KOHM/1KOhm  MBS_R0402             770.00   1505.00    19.558    38.227 0   N
O1R35     R_MBS_R0402_3KOHM/3KOHM  MBS_R0402             854.00   1440.00    21.692    36.576 270 N
O1R36     R_MBS_R0402_0OHM/0Ohm    MBS_R0402             925.00   1440.00    23.495    36.576 90  N
O1R38     R_MBS_R0603_40.2KOHM/40.2KOhm MBS_R0603            1505.00   1460.00    38.227    37.084 0   N
O1R39     R_MBS_R0402_10KOHM/10KOhm MBS_R0402            1400.00   1340.00    35.560    34.036 90  N
O1R40     R_MBS_R0402_DISCRETE_680OHM/680Ohm MBS_R0402            1405.00   2525.00    35.687    64.135 270 N
O1R42     R_MBS_R0402_DISCRETE_680OHM/680Ohm MBS_R0402            1360.00   2435.00    34.544    61.849 270 N
O1R43     R_MBS_R0402_1KOHM/1KOhm  MBS_R0402            1360.00   2525.00    34.544    64.135 90  N
O1R44     R_MBS_R0402_DISCRETE_680OHM/680Ohm MBS_R0402            1270.00   2435.00    32.258    61.849 90  N
O1R45     R_MBS_R0402_1KOHM/1KOhm  MBS_R0402            1305.00   2525.00    33.147    64.135 90  N
O1R46     R_MBS_R0402_DISCRETE_680OHM/680Ohm MBS_R0402            1510.00   1220.00    38.354    30.988 90  N
O1R47     R_MBS_R0402_1KOHM/1KOhm  MBS_R0402            1510.00   1290.00    38.354    32.766 90  N
O1R48     R_MBS_R0402_DISCRETE_680OHM/680Ohm MBS_R0402            1620.00   1290.00    41.148    32.766 270 N
O1R49     R_MBS_R0402_1KOHM/1KOhm  MBS_R0402            1655.00   1290.00    42.037    32.766 90  N
O1R50     R_MBS_R0402_DISCRETE_680OHM/680Ohm MBS_R0402            1545.00   1220.00    39.243    30.988 90  N
O1R51     R_MBS_R0402_1KOHM/1KOhm  MBS_R0402            1545.00   1290.00    39.243    32.766 90  N
O1R52     R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402            1505.00   2215.00    38.227    56.261 180 N
O1R55     R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402            1620.00   1360.00    41.148    34.544 270 N
O1R56     R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402             655.00   1690.22    16.637    42.932 0   N
O1R58     R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402             655.00   2360.00    16.637    59.944 180 N
O1R59     R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402             655.00   2325.00    16.637    59.055 180 N
O1R67     R_MBS_R0402_49.9OHM/49.9Ohm MBS_R0402            1200.00   2435.00    30.480    61.849 90  N
O1R68     R_MBS_R0402_49.9OHM/49.9Ohm MBS_R0402             765.00   2535.00    19.431    64.389 0   N
O1R70     R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402             980.00    790.00    24.892    20.066 90  N
O1R73     R_MBS_R0402_0OHM/0Ohm    MBS_R0402            8670.00   5400.00   220.218   137.160 0   N
O1R79     R_MBS_R0402_0OHM/0Ohm    MBS_R0402            3940.00   4305.00   100.076   109.347 270 N
O1R134    R_MBS_R0603_12KOHM/12KOHM MBS_R0603             770.00   1420.00    19.558    36.068 180 N
O1R187    R_MBS_R0402_0OHM/0Ohm    MBS_R0402            8660.00   4490.00   219.964   114.046 0   N
O1R188    R_MBS_R0402_0OHM/0Ohm    MBS_R0402             560.00   1765.00    14.224    44.831 180 N
O1R189    R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402             655.00   1835.00    16.637    46.609 180 N
O1R201    R_MBS_R0603_4.7KOHM/4.7KOhm MBS_R0603             850.00   2537.00    21.590    64.440 0   N
O1R202    R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402             945.00   2435.00    24.003    61.849 90  N
O1R232    R_MBS_R0603_5.49KOHM/5.49KOhm MBS_R0603             655.00   1500.00    16.637    38.100 270 N
O1R267    R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402            1180.00   2525.00    29.972    64.135 90  N
O1R271    R_MBS_R0402__4.7KOHM/4.7KOHM MBS_R0402             655.00   2115.00    16.637    53.721 180 N
O1R272    R_MBS_R0402__4.7KOHM/4.7KOHM MBS_R0402             655.00   2150.00    16.637    54.610 0   N
O1R301    R_MBS_R0603_40.2KOHM/40.2KOhm MBS_R0603            1110.00   1250.00    28.194    31.750 270 N
O1R302    R_MBS_R0402_10KOHM/10KOhm MBS_R0402            1170.00   1250.00    29.718    31.750 90  N
O1R305    R_MBS_R0603_40.2KOHM/40.2KOhm MBS_R0603            1060.00   1250.00    26.924    31.750 270 N
O1R306    R_MBS_R0402_10KOHM/10KOhm MBS_R0402             935.00   1250.00    23.749    31.750 270 N
O1R748    R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402            1505.00   1941.00    38.227    49.301 180 N
O1R751    R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402             320.00   1985.00     8.128    50.419 180 N
O1R752    R_MBS_R0603_4.12KOHM/4.12KOhm MBS_R0603             565.00   2150.00    14.351    54.610 180 N
O1R753    R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402             235.00   2035.00     5.969    51.689 270 N
O1R754    R_MBS_R0603_8.2KOHM/8.2KOhm MBS_R0603            7565.00   9425.00   192.151   239.395 180 N
O1R760    R_MBS_R0402_0OHM/0Ohm    MBS_R0402            1210.00   1440.00    30.734    36.576 90  N
O1R770    R_MBS_R0603_8.2KOHM/8.2KOhm MBS_R0603             655.00   2230.00    16.637    56.642 180 N
O1R772    R_MBS_R0402_0OHM/0Ohm    MBS_R0402            1505.00   1537.00    38.227    39.040 180 N
O1R773    R_MBS_R0402_0OHM/0Ohm    MBS_R0402             655.00   1606.00    16.637    40.792 0   N
O1R774    R_MBS_R0402_0OHM/0Ohm    MBS_R0402            1960.00   1895.00    49.784    48.133 90  N
O1R775    R_MBS_R0402_0OHM/0Ohm    MBS_R0402            1505.00   1690.00    38.227    42.926 180 N
O1R776    R_MBS_R0402_0OHM/0Ohm    MBS_R0402             765.00   2334.00    19.431    59.284 180 N
O1R791    R_MBS_R0402_0OHM/0Ohm    MBS_R0402             560.00   1800.00    14.224    45.720 180 N
O1R792    R_MBS_R0402_0OHM/0Ohm    MBS_R0402            8650.00   5770.00   219.710   146.558 0   N
O1RN102   4R8PS_MBS_4R8P0603_33OHM/33OHM MBS_4R8P0603          450.00   1952.00    11.430    49.581 90  N
OC202     C_MBS_C0603_0.1UF/16V/0.1UF/16V MBS_C0603            8800.00    720.00   223.520    18.288 0   N
OC206     C_MBS_C0603_DISCRETE_0.01UF/16V/0.01UF/16V MBS_C0603            8800.00    808.00   223.520    20.523 0   N
OC207     C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            9430.00    615.00   239.522    15.621 270 N
OC208     C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            9395.00    615.00   238.633    15.621 270 N
OC211     C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            7820.00    535.00   198.628    13.589 270 N
OC217     C_MBS_C0603_1UF/16V/1UF/16V MBS_C0603            1065.00   1550.00    27.051    39.370 270 N
OC310     C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            6150.00   9285.00   156.210   235.839 270 N
OC311     C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            6025.00   9285.00   153.035   235.839 270 N
OC365     C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402             838.00   1550.00    21.285    39.370 90  N
OC366     C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402            1305.00   2435.00    33.147    61.849 90  N
OC406     C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             995.00   9230.00    25.273   234.442 180 N
OC407     C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             995.00   9060.00    25.273   230.124 180 N
OC760     C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            3800.00   1835.00    96.520    46.609 90  N
OC761     C_MBS_C0402_0.22UF/10V/0.22UF/10V MBS_C0402            3615.00   1820.00    91.821    46.228 0   N
OC5079    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5690.00   9285.00   144.526   235.839 270 N
OC5080    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5730.00   9285.00   145.542   235.839 270 N
OC8067    C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402            1150.00   1550.00    29.210    39.370 90  N
OC8070    C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402             935.00   1550.00    23.749    39.370 90  N
OC8153    C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402            1290.00   1550.00    32.766    39.370 90  N
OC8155    C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402            1250.00   1550.00    31.750    39.370 90  N
OC8157    C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402            1330.00   1550.00    33.782    39.370 90  N
OD200     IP4220CZ6_MBS_SOT23_6P_IP4220CZ/IP4220CZ6 MBS_SOT23_6P         8975.00    631.00   227.965    16.027 90  N
OD400     IP4220CZ6_MBS_SOT23_6P_IP4220CZ/IP4220CZ6 MBS_SOT23_6P         1000.00   9145.00    25.400   232.283 270 N
OQ202     NPN_SOT23_MBS_SOT23_PMBS3904/PMBS3904 MBS_SOT23            8675.00    750.00   220.345    19.050 270 N
OQ203     NPN_SOT23_MBS_SOT23_PMBS3904/PMBS3904 MBS_SOT23            8675.00    595.00   220.345    15.113 270 N
OQ204     N_MOS_SOT23_MBS_SOT23_H2N7002/H2N7002 MBS_SOT23            7780.00    675.00   197.612    17.145 270 N
OQ205     NPN_SOT23_MBS_SOT23_PMBS3904/PMBS3904 MBS_SOT23            9250.00    755.00   234.950    19.177 270 N
OQ300     NPN_SOT23_MBS_SOT23_PMBS3904/PMBS3904 MBS_SOT23            5190.00   9380.00   131.826   238.252 180 N
OQ310     NPN_SOT23_MBS_SOT23_PMBS3904/PMBS3904 MBS_SOT23            5975.00   9170.00   151.765   232.918 270 N
OQ760     SI7415DN_S_POWERPAK_5P_COLAY_DI/EMF44P02V S_POWERPAK_5P_COLAY   3690.00   1915.00    93.726    48.641 270 N
OQ202C1   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            8590.00    720.00   218.186    18.288 270 N
OQ203C1   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            8590.00    630.00   218.186    16.002 270 N
OQ204C1   C_MBS_C0603_0.1UF/16V/0.1UF/16V MBS_C0603            7670.00    535.00   194.818    13.589 270 N
OQ205C1   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            9195.00    805.00   233.553    20.447 180 N
OQ300C1   C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      5080.00   9385.00   129.032   238.379 180 N
OQ300C3   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            5340.00   9390.00   135.636   238.506 90  N
OQ300C9   C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      5080.00   9430.00   129.032   239.522 180 N
OQ310C1   C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      5910.00   9060.00   150.114   230.124 270 N
